0,1,2,3,4,5,6,7,8,9,10,11,12,filename
-0.7535808,-1.3016508,0.64711577,0.45293164,0.5068946,-0.10717653,-1.2453915,1.312281,0.549716,-0.30323482,1.0281334,-0.04250695,-1.5407046,F1.mp3
0.6166574,-1.5188107,-0.6329451,0.88508755,-0.9509321,0.0700367,-1.3898964,0.22826958,0.06532262,-1.0493388,-0.55976653,0.63102794,-1.2944914,F10.mp3
-0.318577,0.21147634,0.6536759,-0.18844514,0.6572676,-0.18363945,-0.5494965,1.3007601,0.14316654,-0.863744,1.3668253,-0.18903878,-0.2632597,F2.mp3
0.11332237,-1.0102127,0.28924954,-0.1618873,-0.7213002,-0.92164785,-1.6325386,0.51179403,-0.7781463,-0.7942587,-0.24393532,-2.1683648,-1.4773384,F3.mp3
0.35799885,-0.7890799,-1.2774816,-0.36367023,-0.71366775,-0.42031723,0.012646354,1.2847954,-1.6098801,0.10742989,1.987732,0.09001146,1.2128811,F4.mp3
0.37979332,-1.326441,0.571606,-1.0133685,-1.6180576,1.8490433,-1.6493517,1.3552128,1.0947785,-2.237454,0.31517902,0.957618,-2.1179597,F5.mp3
1.7012396,-0.42433912,0.019085744,0.9302872,0.18029292,-0.94647515,0.1124246,1.6982266,-1.0348942,-0.82172257,1.7710125,-1.6918701,-0.8955231,F6.mp3
0.8445257,0.31029877,-2.7856324,-0.9014768,0.08232805,-2.4132712,0.70465267,-0.47892034,-0.62629455,0.030718599,0.12587152,-0.82783365,0.3450195,F7.mp3
-0.81143874,0.8308042,0.30849937,-0.4554034,-0.114200465,-0.73447937,1.0374832,-2.1052349,-0.8961815,0.21165283,-0.45369846,-0.89976555,-0.5735875,F8.mp3
-2.2845254,0.64142865,-1.195587,-2.5565124,0.6969597,-0.9841268,0.2539892,0.12609373,1.430362,-0.14343552,-0.2845006,0.13046263,0.43646854,F9.mp3
-0.24316531,0.0048058075,1.058782,0.87539536,-0.6735744,0.7760413,1.3612788,-0.16126144,-0.544662,1.4787663,-9.8779514e-05,-0.7495008,1.0634303,M1.mp3
1.7224139,-0.5494643,-0.013870441,0.8856076,-0.42797276,1.5527153,-0.9048249,-0.7543273,-1.1367357,1.6341411,-0.8424834,1.9294482,0.5374621,M10.mp3
-0.22976017,0.41534737,0.9216681,0.19968747,-1.244031,0.5287952,0.6055547,0.3864897,-1.0238174,0.8150652,1.1673789,0.67484784,0.77362955,M2.mp3
0.1924925,0.21585442,1.0592892,0.4423386,-0.34742686,-0.3207612,-0.0779614,-0.4442039,-0.17883262,-1.3690363,-1.9301522,-1.1462402,0.30387524,M3.mp3
0.3496283,-0.056834396,-0.74510723,0.30814135,0.23804475,0.0134131275,0.34038004,-1.3672292,-0.053171728,1.3591244,-0.020866336,1.1854123,0.6580442,M4.mp3
0.8819173,-1.0891716,0.67247444,1.1336154,-1.2334352,0.773582,-0.73407036,-0.09900317,-0.09866457,0.3936589,-1.3962077,0.81252396,0.009006816,M5.mp3
0.7194555,0.32079014,0.74750394,1.746866,1.0589352,1.4054859,1.1692029,-0.32151443,1.7791368,1.0168368,-0.38828146,0.70663637,1.4133795,M6.mp3
-0.4359955,1.0667356,-0.66158247,-0.3838597,1.276143,-0.68415433,1.3052118,-0.9870208,-0.16396105,0.3679022,-0.102393985,0.7520167,-0.38254687,M7.mp3
-0.8863977,1.9077473,1.2454994,-0.10525333,0.6778112,0.90283734,1.5318365,-1.0757874,1.1293895,0.8215586,-0.52715,-0.5057675,0.83426124,M8.mp3
-1.9160042,2.1407154,-0.8822431,-1.7300811,2.6699212,-0.15590096,-0.25112957,-0.4094205,1.9533697,-0.65463006,-1.0125979,0.35088298,0.95795316,M9.mp3
